id,title,release_year,budget,revenue,return,popularity,vote_count,vote_average,runtime,cast_name,director_name,day_of_week
4584,Sense and Sensibility,1995,16500000.0,135000000.0,8.18,10.673167,364.0,7.2,136.0,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman', 'Imogen Stubbs', 'Greg Wise', 'Hugh Laurie', 'Imelda Staunton', 'Robert Hardy', 'Oliver Ford Davies', 'James Fleet', 'Harriet Walter', 'Gemma Jones', 'Emilie François', 'Elizabeth Spriggs', 'Richard Lumsden']",Ang Lee,Wednesday
5,Four Rooms,1995,4000000.0,4300000.0,1.07,9.026586,539.0,6.5,98.0,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei', 'Bruce Willis', 'Quentin Tarantino', 'Sammi Davis', 'Amanda de Cadenet', 'Valeria Golino', 'Lili Taylor', 'Lawrence Bender', 'Ione Skye', 'Alicia Witt', 'David Proval', 'Lana McKissack', 'Tamlyn Tomita', 'Kathy Griffin', 'Paul Calderon', 'Salma Hayek', 'Patricia Vonne', 'Danny Verduzco', 'Kimberly Blair', 'Marc Lawrence']",Allison Anders,Saturday
9273,Ace Ventura: When Nature Calls,1995,30000000.0,212385533.0,7.08,8.205448,1128.0,6.1,90.0,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny D. Daniels', 'Sam Motoana Phillips', 'Damon Standifer', 'Andrew Steel', 'Bruce Spence', 'Tom Grunke', ""Arsenio 'Sonny' Trinidad""]",Steve Oedekerk,Friday
11517,Money Train,1995,60000000.0,35431113.0,0.59,7.337906,224.0,5.4,103.0,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper', 'Joe Grifasi', 'Scott Sowers', 'Skipp Sudduth', 'Aida Turturro', 'Vincent Pastore', 'Enrico Colantoni', 'Bill Nunn', 'Katie Gill', 'Jeremy Roberts', 'Joe Bacino']",Joseph Ruben,Tuesday
8012,Get Shorty,1995,30250000.0,115101622.0,3.81,12.669608,305.0,6.4,105.0,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer', 'Martin Ferrero', 'Miguel Sandoval', 'Jacob Vargas', 'Bobby Slayton', 'Linda Hart', 'Jeffrey J. Stephen']",Barry Sonnenfeld,Friday
9691,Assassins,1995,50000000.0,30303072.0,0.61,11.065939,394.0,6.0,132.0,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson', 'Steve Kahan', 'Kelly Rowan', 'Reed Diamond', 'Kai Wulff', 'Kerry Skalsky', 'James Douglas Haskins', 'Stephen Liska', 'John Harms', 'Edward J. Rosen', 'Christina Orchid', 'Choco Orta', 'Germán Legarreta']",Richard Donner,Friday
451,Leaving Las Vegas,1995,3600000.0,49800000.0,13.83,10.332025,365.0,7.1,112.0,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber', 'Kim Adams', 'Emily Procter', 'Stuart Reynolds ', 'Valeria Golino', 'Graham Beckel', 'Mariska Hargitay', 'Laurie Metcalf', 'Shawnee Smith', 'David Kriegel']",Mike Figgis,Friday
9263,Now and Then,1995,12000000.0,27400000.0,2.28,8.681325,91.0,6.6,100.0,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann', 'Demi Moore', 'Ashleigh Aston Moore', 'Rita Wilson', 'Walter Sparrow', 'Devon Sawa', 'Cloris Leachman', 'Janeane Garofalo', 'Hank Azaria', 'Bonnie Hunt', 'Lolita Davidovich', 'Brendan Fraser']",Lesli Linka Glatter,Friday
902,The City of Lost Children,1995,18000000.0,1738611.0,0.1,9.822423,308.0,7.6,108.0,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus', 'Geneviève Brunet', 'Odile Mallet', 'Mireille Mossé', 'Serge Merlin', 'Rufus', 'Ticky Holgado', 'Cris Huerta', 'Jean-Louis Trintignant', 'Joseph Lucien', 'Mapi Galán', 'Briac Barthélémy', 'Pierre-Quentin Faesch', 'Alexis Pivot', 'François Hadji-Lazaro', 'Dominique Bettenfeld', 'Lotfi Yahya Jedidi', 'Thierry Gibault', 'Marc Caro', 'Ham-Chau Luong', 'Frankie Pain', 'Enrique Villanueva', 'Dominique Chevalier', 'Lorella Cravotta', 'Éric Houzelot', 'Philippe Beautier', 'Marc Amyot', 'Jean-Philippe Labadie', 'Raphaèle Bouchard', 'Elisabeth Etienne', 'Rachel Boulenger', 'Michel Motu', 'Nane Germon']",Jean-Pierre Jeunet,Tuesday
63,Twelve Monkeys,1995,29500000.0,168840000.0,5.72,12.297305,2470.0,7.4,129.0,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse', 'Jon Seda', 'Frank Gorshin', 'Joseph Melito', 'Aaron Michael Lacey', 'Christopher Meloni', 'Joey Perillo', 'LisaGay Hamilton', 'Matt Ross', 'Annie Golden', 'Michael Chance', 'Vernon Campbell', 'H. Michael Walls', 'Bob Adrian', 'Simon Jones', 'Carol Florence', 'Bill Raymond', 'Ernest Abuba', 'Irma St. Paule', 'Rozwill Young', 'Nell Johnson', 'Frederick Strother', 'Charles Techman', 'Rick Warner', ""Anthony 'Chip' Brienza"", 'Bruce Kirkpatrick', 'Wilfred Williams', 'Joilet Harris', 'Drucie McDaniel', 'John Blaisse', 'Louis Lippa', 'Stan Kang', 'Pat Dias', 'Felix Pire', 'Karl Warren', 'Joseph McKenna', 'Stephen Bridgewater', 'Ray Huffman', 'Charley Scalies', ""Robert O'Neill"", 'Paul Meshejian', 'Kevin Thigpen', ""Harry O'Toole"", 'Jann Ellis', 'Michael Ryan Segal', 'Korchenko', 'Chuck Jeffreys', 'Barry Price', 'John Panzarella', 'Janet Zappala', 'Lisa Talerico', 'Tiffany Baldwin', 'C.J. Byrnes', 'Tom Detrik', 'Joe Gerety', 'Renee Spei', 'Bonnie Loev', 'Raymond Mamrak', 'Sal Mazzotta', 'Allelon Ruggiero', 'Thang']",Terry Gilliam,Friday
9598,Babe,1995,30000000.0,254134910.0,8.47,14.404764,756.0,6.0,89.0,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn', 'James Cromwell', 'Russi Taylor', 'Evelyn Krape', 'Michael Edward-Stevens', 'Charles Bartlett', 'Paul Livingston', 'Roscoe Lee Browne', 'Magda Szubanski', 'Zoe Burton', 'Paul Goddard', 'Wade Hayward', 'Brittany Byrnes', 'Mary Acres']",Chris Noonan,Tuesday
687,Dead Man Walking,1995,11000000.0,39363635.0,3.58,6.891317,350.0,7.3,122.0,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey', 'Celia Weston', 'Lois Smith', 'Scott Wilson', 'Roberta Maxwell', 'Margo Martindale', 'Jack Black', 'Ray Aranha', 'Peter Sarsgaard', 'Barton Heyman', 'Steve Boles', 'Nesbitt Blaisdell', 'Larry Pine', 'Kevin Cooney', 'Clancy Brown', 'Michael Cullen', 'Missy Yager', 'Jenny Krochmal', 'Jon Abrahams', 'Arthur Bridgers', 'Steve Carlisle', 'Eva Amurri Martino', 'Jack Henry Robbins', 'Dennis Neal', 'Molly Bryant', 'Adele Robbins', 'Pete Burris', 'Joan Glover', 'Lenore Banks', 'Scott Sowers', 'Cortez Nance Jr.', 'Adam Nelson', 'Jeremy Knaster', 'Marcus Lyle Brown', 'Anthony Michael Frederick', 'Thomas McGowan', 'Codie Scott', 'Helen Prejean']",Tim Robbins,Friday
9312,Mortal Kombat,1995,18000000.0,122195920.0,6.79,10.870138,452.0,5.4,101.0,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson', 'Talisa Soto', 'Trevor Goddard', 'Chris Casamassa', 'François Petit', 'Keith Cooke', 'Ed Boon']",Paul W.S. Anderson,Friday
577,To Die For,1995,20000000.0,21284514.0,1.06,10.448481,177.0,6.7,106.0,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas', 'Alison Folland', 'Dan Hedaya', 'Wayne Knight', 'David Cronenberg', 'Kurtwood Smith', 'Holland Taylor', 'Susan Traylor', 'Maria Tucci', 'Tim Hopper']",Gus Van Sant,Saturday
11861,How To Make An American Quilt,1995,10000000.0,23574130.0,2.36,4.485958,38.0,6.5,116.0,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Jean Simmons', 'Maya Angelou', 'Alfre Woodard', 'Dermot Mulroney', 'Lois Smith', 'Kate Capshaw', 'Rip Torn', 'Johnathon Schaech', 'Samantha Mathis', 'Joanna Going', 'Esther Rolle', 'Jared Leto', 'Claire Danes', 'Lecy Goranson', 'Holland Taylor', 'Tim Guinee', ""Derrick O'Connor"", 'Loren Dean', 'Melinda Dillon', 'Richard Jenkins', 'Denis Arndt', 'Adam Baldwin', 'Michael McElroy', 'Ari Meyers', 'Jane Alden', 'Tamala Jones', ""Rae'Ven Larrymore Kelly"", 'Alicia Goranson', 'Will Estes', 'Mykelti Williamson']",Jocelyn Moorhouse,Friday
807,Se7en,1995,33000000.0,327311859.0,9.92,18.45743,5915.0,8.1,127.0,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley', 'Kevin Spacey', 'R. Lee Ermey', 'Richard Roundtree', 'Richard Schiff', 'Julie Araskog', 'Mark Boone Junior', 'John Cassini', 'Reg E. Cathey', 'Peter Crombie', 'Hawthorne James', 'Michael Massee', 'Leland Orser', 'Richard Portnow', 'Daniel Zacapa', 'Alfonso Freeman', 'Harris Savides', 'Andrew Kevin Walker', 'Richmond Arquette', 'Pamala Tyson', 'Emily Wagner', 'Shannon Wilcox', 'George Christy', 'Endre Hules', 'William Davidson', 'Bob Collins', 'Dominique Jennings', 'Allan Kolman', 'Gene Borkan', 'Mario Di Donato', 'Harrison White', 'Bob Stephenson', 'Michael Reid MacKay', 'Lennie Loftin', 'Martin Serene', 'David Correia', 'Lexie Bigham', 'Evan Mirand', 'Paul Eckstein', 'Rachel Flanagan', 'Heidi Schanz', 'Brian Evers', 'James Deeth', 'Charles A. Tamburro', 'Charles S. Dutton', 'Arthur Max']",David Fincher,Friday
10530,Pocahontas,1995,55000000.0,346079773.0,6.29,13.280069,1509.0,6.7,81.0,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means', 'Christian Bale', 'Judy Kuhn', 'Linda Hunt', 'Danny Mann', 'Billy Connolly', 'Joe Baker', 'Frank Welker', 'Michelle St. John', 'James Apaumut Fall', 'Gordon Tootoosis', 'Jim Cummings']",Mike Gabriel,Wednesday
629,The Usual Suspects,1995,6000000.0,23341568.0,3.89,16.302466,3334.0,8.1,106.0,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak', 'Pete Postlethwaite', 'Kevin Spacey', 'Suzy Amis', 'Giancarlo Esposito', 'Benicio del Toro', 'Dan Hedaya', 'Paul Bartel', 'Carl Bressler', 'Christine Estabrook', 'Clark Gregg', 'Morgan Hunter', 'Louis Lombardi', 'Frank Medrano', 'Ron Gilbert']",Bryan Singer,Wednesday
11448,Mighty Aphrodite,1995,15000000.0,6700000.0,0.45,15.899134,145.0,6.7,95.0,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham', 'Donald Symington', 'Claire Bloom', 'Olympia Dukakis', 'Michael Rapaport', 'David Ogden Stiers', 'Jack Warden', 'Peter Weller', 'Danielle Ferland']",Woody Allen,Wednesday
10634,Friday,1995,3500000.0,28215918.0,8.06,14.56965,513.0,7.0,91.0,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tom Lister Jr.', 'John Witherspoon', 'Anna Maria Horsford', 'Regina King', 'Paula Jai Parker', 'Faizon Love', 'DJ Pooh', 'Tony Cox', 'Anthony Johnson', 'Bernie Mac', 'Meagan Good', 'Terri J. Vaughn', 'F. Gary Gray', 'Reynaldo Rey', 'Michael Clarke Duncan']",F. Gary Gray,Wednesday
755,From Dusk Till Dawn,1996,19000000.0,25836616.0,1.36,15.339153,1644.0,6.9,108.0,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu', 'Salma Hayek', 'Cheech Marin', 'Danny Trejo', 'Tom Savini', 'Fred Williamson', 'Michael Parks', 'Brenda Hillhouse', 'John Saxon', 'Marc Lawrence', 'Kelly Preston', 'John Hawkes', 'Tito Larriva', 'Peter Atanasoff', 'Johnny Vatos Hernandez', 'Aimee Graham', 'Heidi McNeal', 'Ernest M. Garcia', 'Gregory Nicotero', 'Cristos', 'Mike Moroff', 'Tia Texada', 'Janine Jordae', 'Ungela Brockman', 'Michelle Berube', 'Michael McKay', 'Jake McKinnon', 'Walter Phelan', 'Wayne Toth']",Robert Rodriguez,Friday
11859,Fair Game,1995,50000000.0,11534477.0,0.23,5.912223,54.0,4.1,91.0,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald', 'Miguel Sandoval', 'Johann Carlo', 'Salma Hayek', 'John Bedford Lloyd', 'Jenette Goldstein', 'Paul Dillon', 'Olek Krupa', 'Gustav Vintas', 'Marc Macaulay', 'Ruben Rabasa', 'Sonny Carl Davis', 'Dan Hedaya', 'Antoni Corone', 'Dan Hedaya']",Andrew Sipes,Friday
36929,Big Bully,1996,15000000.0,2042530.0,0.14,2.936443,16.0,3.9,90.0,"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips', 'Carol Kane', 'Jeffrey Tambor', 'Curtis Armstrong', 'Don Knotts']",Steve Miner,Friday
9102,Screamers,1995,20000000.0,5781885.0,0.29,12.758848,154.0,6.1,108.0,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin', 'Andrew Lauer', 'Liliana Komorowska', 'Michael Caloz', 'Jason Cavalier', 'Ron White', 'Charles Edwin Powell']",Christian Duguay,Friday
400,Things to Do in Denver When You're Dead,1995,8000000.0,529766.0,0.07,4.486179,87.0,6.7,116.0,"['Andy García', 'Christopher Lloyd', 'William Forsythe', 'Bill Nunn', 'Treat Williams', 'Jack Warden', 'Steve Buscemi', 'Fairuza Balk', 'Gabrielle Anwar', 'Christopher Walken', 'Michael Nicolosi', 'Sarah Trigger', 'David Stratton', 'Jenny McCarthy']",Gary Fleder,Friday
10534,White Squall,1996,38000000.0,10300000.0,0.27,9.568604,86.0,6.3,129.0,"['Jeff Bridges', 'Caroline Goodall', 'John Savage', 'Scott Wolf', 'Jeremy Sisto', 'Ryan Phillippe', 'David Lascher', 'David Lascher', 'Eric Michael Cole', 'Jason Marsden', 'David Selby', 'Julio Oscar Mechoso', 'Zeljko Ivanek', 'Balthazar Getty', 'Ethan Embry']",Ridley Scott,Friday
2086,Nick of Time,1995,8169363.0,8175346.0,1.0,6.848591,190.0,6.1,90.0,"['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton', 'Christopher Walken', 'Roma Maffia', 'Peter Strauss', 'Gloria Reuben', 'Marsha Mason', 'Miguel Nájera', 'Bill Smitrovich', 'G.D. Spradlin', 'Charles Carroll']",John Badham,Wednesday
9095,Mary Reilly,1996,47000000.0,12379402.0,0.26,12.866139,77.0,5.7,104.0,"['Julia Roberts', 'John Malkovich', 'George Cole', 'Michael Gambon', 'Glenn Close', 'Kathy Staff', 'Michael Sheen', 'Bronagh Gallagher', 'Linda Bassett', 'Ciarán Hinds', 'Henry Goodman']",Stephen Frears,Friday
12158,Vampire in Brooklyn,1995,14000000.0,19800000.0,1.41,9.071127,113.0,4.5,100.0,"['Eddie Murphy', 'Angela Bassett', 'Allen Payne', 'Kadeem Hardison', 'John Witherspoon', 'Zakes Mokae', 'Joanna Cassidy', 'W. Earl Brown', 'Simbi Khali']",Wes Craven,Thursday
9208,Broken Arrow,1996,50000000.0,150270147.0,3.01,14.957626,459.0,5.7,108.0,"['John Travolta', 'Christian Slater', 'Samantha Mathis', 'Delroy Lindo', 'Bob Gunton', 'Frank Whaley', 'Howie Long', 'Vondie Curtis-Hall', 'Jack Thompson', 'Vyto Ruginis', 'Ousaun Elam', 'Shaun Toub', 'Casey Biggs', 'Jeffrey J. Stephen', 'Joey Box']",John Woo,Friday
13685,Bottle Rocket,1996,7000000.0,560069.0,0.08,6.904831,285.0,6.8,91.0,"['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos', 'Andrew Wilson', 'Robert Musgrave', 'Haley Miller', 'James Caan', 'Ned Dowd', 'Shea Fowler', 'Brian Tenenbaum', 'Jenni Tooley', 'Temple Nash']",Wes Anderson,Wednesday
9614,Happy Gilmore,1996,12000000.0,41205099.0,3.43,9.592265,767.0,6.5,92.0,"['Adam Sandler', 'Ben Stiller', 'Christopher McDonald', 'Julie Bowen', 'Frances Bay', 'Carl Weathers', 'Richard Kiel', 'Bob Barker', 'Allen Covert', 'Joe Flaherty', 'Lee Trevino', 'Robert Smigel', 'Dennis Dugan', 'Kevin Nealon', 'Verne Lundquist', 'Jared Van Snellenberg', 'Ken Camroux']",Dennis Dugan,Friday
688,The Bridges of Madison County,1995,24000000.0,182016617.0,7.58,5.951077,397.0,7.3,135.0,"['Meryl Streep', 'Clint Eastwood', 'Annie Corley', 'Victor Slezak', 'Jim Haynie', 'Sarah Kathryn Schmitt', 'Christopher Kroon', 'Phyllis Lyons', 'Debra Monk', 'Richard Lage', 'Michelle Benes', 'Alison Wiegert']",Clint Eastwood,Sunday
197,Braveheart,1995,72000000.0,210000000.0,2.92,20.755149,3404.0,7.7,177.0,"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen', 'Brendan Gleeson', 'James Robinson', 'James Cosmo', 'Sean McGinley', 'Gerda Stevenson', 'Mhairi Calvey', 'Jeanne Marine', 'Sean Lawlor', 'Sandy Nelson', 'Alan Tall', 'Andrew Weir', 'Brian Cox', 'Peter Hanly', 'Stephen Billington', 'Tommy Flanagan', 'Rupert Vansittart', 'Tam White', 'Ian Bannen', ""David O'Hara"", 'Peter Mullan', 'David Gant', 'Malcolm Tierney', 'Martin Murphy', 'Gerard McSorley', 'Bernard Horsfall', 'Richard Leaf', 'Liam Carney', 'Ralph Riach', 'Barry McGovern', 'John Kavanagh', 'Alun Armstrong', 'Julie Austin', 'Alex Norton', 'Michael Byrne', 'William Scott-Masson', 'Dean Lopata', 'Donal Gibson', 'Jimmy Chisholm', 'John Murtagh', 'David McKay', ""Niall O'Brien"", 'Martin Dempsey', 'Jimmy Keogh', 'Joe Savino', 'Mal Whyte', 'Paul Tucker', 'Graeme Ford', 'Greg Jeloudov', 'Rana Morrison', ""Jer O'Leary""]",Mel Gibson,Wednesday
103,Taxi Driver,1976,1300000.0,28262574.0,21.74,14.092713,2632.0,8.1,114.0,"['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel', 'Jodie Foster', 'Peter Boyle', 'Leonard Harris', 'Albert Brooks', 'Diahnne Abbott', 'Gino Ardito', 'Martin Scorsese', 'Murray Moston', 'Richard Higgs', 'Bill Minkin', 'Bob Maroff', 'Victor Argo', 'Joe Spinell', 'Frank Adu', 'Brenda Dickson', 'Norman Matlock', 'Harry Northup', 'Harlan Cary Poe', 'Steven Prince', 'Peter Savage', 'Nicholas Shields', 'Ralph S. Singleton', 'Annie Gagen', 'Carson Grant', 'Mary-Pat Green', 'Debbi Morgan', 'Don Stroud']",Martin Scorsese,Saturday
33542,Rumble in the Bronx,1995,7500000.0,32392047.0,4.32,12.314278,245.0,6.5,91.0,"['Jackie Chan', 'Anita Mui', 'Françoise Yip', 'Bill Tung', 'Marc Akerstream', 'Garvin Cross', 'Morgan Lam', 'Kris Lord', 'Carrie Cain-Sparks']",Stanley Tong,Monday
78406,Steal Big Steal Little,1995,25000000.0,6278139.0,0.25,1.522412,7.0,5.1,113.0,"['Andy García', 'Alan Arkin', 'Rachel Ticotin', 'Joe Pantoliano', 'Ally Walker', 'David Ogden Stiers', 'Kevin McCarthy', 'Richard Bradford', 'Holland Taylor']",Andrew Davis,Friday
11066,Boomerang,1992,40000000.0,70100000.0,1.75,6.506983,139.0,5.4,117.0,"['Eddie Murphy', 'Robin Givens', 'Halle Berry', 'David Alan Grier', 'Grace Jones', 'Martin Lawrence', 'Geoffrey Holder', 'Eartha Kitt', 'Chris Rock', 'Tisha Campbell-Martin', 'Lela Rochon', 'John Canada Terrell', 'John Witherspoon']",Reginald Hudlin,Tuesday
